,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013
路線名,駅名,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比
東横線 ,東横線計,"1,094,081","798,617","1,892,698",,"1,113,934","812,409","1,926,343",,"1,128,778","856,298","1,985,076",,"1,137,556","858,973","1,996,529",,"1,131,276","852,272","1,983,548",,"1,124,891","834,324","1,959,215",,"1,115,512","833,724","1,949,236",,"1,139,885","863,760","2,003,645",,"1,185,581","869,219","2,054,800",
東横線 ,渋谷,"230,713","181,524","412,237",-0.9,"234,660","183,071","417,731",1.3,"227,773","187,060","414,833",-0.7,"236,669","191,416","428,085",3.2,"235,617","190,852","426,469",-0.4,"234,533","184,949","419,482",-1.6,"232,953","187,210","420,163",0.2,"238,989","197,005","435,994",3.8,"250,438","190,828","441,266",1.2
東横線 ,代官山,"7,035","17,133","24,168",-1.6,"7,038","17,116","24,154",-0.1,"6,932","17,744","24,676",2.2,"6,790","18,007","24,797",0.5,"6,829","17,430","24,259",-2.2,"6,923","16,673","23,596",-2.7,"7,265","17,638","24,903",5.5,"7,889","20,804","28,693",15.2,"8,316","21,167","29,483",2.8
東横線 ,中目黒,"103,905","64,382","168,287",1.4,"106,419","66,225","172,644",2.6,"111,166","74,832","185,998",7.7,"114,212","75,363","189,575",1.9,"114,278","75,757","190,035",0.2,"111,482","74,957","186,439",-1.9,"108,908","73,952","182,860",-1.9,"112,943","77,831","190,774",4.3,"117,491","68,438","185,929",-2.5
東横線 ,祐天寺,"15,258","14,974","30,232",-3.3,"14,208","15,302","29,510",-2.4,"14,092","16,101","30,193",2.3,"14,187","16,200","30,387",0.6,"13,785","15,972","29,757",-2.1,"13,664","15,747","29,411",-1.2,"13,541","15,653","29,194",-0.7,"13,748","15,868","29,616",1.4,"14,003","15,806","29,809",0.7
東横線 ,学芸大学,"34,304","31,532","65,836",2.2,"35,736","32,117","67,853",3.1,"36,381","32,804","69,185",2,"36,686","32,701","69,387",0.3,"37,109","32,985","70,094",1,"37,448","32,553","70,001",-0.1,"37,203","32,319","69,522",-0.7,"38,655","33,295","71,950",3.5,"40,364","34,041","74,405",3.4
東横線 ,都立大学,"21,297","24,297","45,594",1.1,"21,434","24,517","45,951",0.8,"21,983","25,116","47,099",2.5,"22,436","25,447","47,883",1.7,"22,101","25,253","47,354",-1.1,"21,681","24,792","46,473",-1.9,"21,299","24,905","46,204",-0.6,"21,743","25,642","47,385",2.6,"22,174","25,457","47,631",0.5
東横線 ,自由が丘,"40,446","43,136","83,582",0.5,"42,472","44,049","86,521",3.5,"39,267","48,052","87,319",0.9,"43,565","48,758","92,323",5.7,"43,418","48,818","92,236",-0.1,"43,104","48,098","91,202",-1.1,"41,912","48,187","90,099",-1.2,"42,571","49,391","91,962",2.1,"43,807","51,914","95,721",4.1
