行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,行っている地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,在住地域で関わりたいと思う地域活動,属性,属性,属性
教育を助ける活動（学校支援ボランティアなど） （文字）,教育を助ける活動（学校支援ボランティアなど） （数値）,子育てを助ける活動（保育ママなど）（文字）,子育てを助ける活動（保育ママなど）（数値）,環境美化活動（清掃や緑化等）（文字）,環境美化活動（清掃や緑化等）（数値）,地域の祭や行事の運営（文字）,地域の祭や行事の運営（数値）,防犯・防災・交通安全の活動（文字）,防犯・防災・交通安全の活動（数値）,要介護のお年寄りや障害者などを助ける活動 （文字）,要介護のお年寄りや障害者などを助ける活動 （数値）,月あたり合計地域活動時間（文字）,月あたり合計地域活動時間（数値）,教育を助ける活動（学校支援ボランティアなど） （文字）,教育を助ける活動（学校支援ボランティアなど） （数値）,子育てを助ける活動（保育ママなど）（文字）,子育てを助ける活動（保育ママなど）（数値）,環境美化活動（清掃や緑化等）（文字）,環境美化活動（清掃や緑化等）（数値）,地域の祭や行事の運営（文字）,地域の祭や行事の運営（数値）,防犯・防災・交通安全の活動（文字）,防犯・防災・交通安全の活動（数値）,要介護のお年寄りや障害者などを助ける活動 （文字）,要介護のお年寄りや障害者などを助ける活動（数値） ,その他（文字）,その他（数値）,いずれの活動も関わりたいと思わない（文字）,いずれの活動も関わりたいと思わない（数値）,性別（文字）,性別（数値）,年齢
全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしていない,1,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,はい,1,いいえ,0,女性,2,45～49
全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,年に1回以上している,3,全くしたことがない,1,全くしたことがない,1,全くしていない,1,はい,1,いいえ,0,いいえ,0,はい,1,はい,1,はい,1,いいえ,0,いいえ,0,男性,1,30～34
全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしていない,1,いいえ,0,いいえ,0,はい,1,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,男性,1,40～44
全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,1時間以下,2,いいえ,0,はい,1,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,女性,2,35～39
全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしていない,1,いいえ,0,いいえ,0,はい,1,いいえ,0,はい,1,いいえ,0,いいえ,0,いいえ,0,女性,2,40～44
全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしていない,1,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,はい,1,女性,2,50～54
全くしたことがない,1,全くしたことがない,1,半年に1回以上している,4,半年に1回以上している,4,全くしたことがない,1,全くしたことがない,1,全くしていない,1,いいえ,0,いいえ,0,はい,1,はい,1,いいえ,0,いいえ,0,いいえ,0,いいえ,0,女性,2,50～54
全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしたことがない,1,全くしていない,1,いいえ,0,いいえ,0,はい,1,いいえ,0,はい,1,いいえ,0,いいえ,0,いいえ,0,女性,2,50～54
過去2～3年の間にしたことがある,2,全くしたことがない,1,年に1回以上している,3,全くしたことがない,1,過去2～3年の間にしたことがある,2,全くしたことがない,1,全くしていない,1,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,いいえ,0,はい,1,女性,2,45～49
