period,term,sex,age_range_start,age_range_end
11-10,空,男性,50,54
11-10,遊,女性,30,34
11-10,常,女性,45,49
11-10,無,男性,35,39
11-10,犬,女性,35,39
11-10,忍,男性,45,49
11-10,酷,女性,35,39
11-10,節,女性,40,44
11-10,渇,女性,25,29
11-10,暑,男性,45,49
11-10,耐,男性,30,34
11-10,耐,男性,40,44
11-10,遊,女性,40,44
11-10,不,女性,50,54
11-10,平,男性,40,44
11-10,快,女性,45,49
11-10,楽,男性,50,54
11-10,損,男性,45,49
11-10,病,女性,45,49
11-10,減,男性,50,54
11-10,並,男性,45,49
11-10,明,男性,50,54
11-10,普,男性,45,49
11-10,節,女性,45,49
11-10,静,男性,45,49
11-10,割,女性,45,49
11-10,無,男性,45,49
11-10,静,女性,50,54
11-10,厳,女性,40,44
11-10,楽,男性,50,54
11-10,楽,男性,35,39
11-10,疲,男性,55,59
11-10,疲,女性,45,49
11-10,平,女性,40,44
11-10,貧,女性,45,49
11-10,苦,女性,35,39
11-10,忙,男性,55,59
11-10,節,男性,35,39
11-10,同,女性,40,44
11-10,節,男性,55,59
11-10,楽,女性,40,44
11-10,節,男性,50,54
11-10,暑,女性,40,44
11-10,殺,男性,40,44
11-10,新,女性,40,44
11-10,動,女性,25,29
11-10,慎,女性,40,44
11-10,考,女性,50,54
11-10,楽,男性,50,54
11-10,暑,女性,50,54
11-10,恐,男性,25,29
11-10,夏,男性,55,59
11-10,普,男性,50,54
11-10,貧,男性,45,49
11-10,抑,女性,25,29
11-10,耐,女性,50,54
11-10,控,男性,45,49
11-10,安,男性,65,69
11-10,忍,男性,60,64
11-10,絆,女性,40,44
11-10,苦,女性,60,64
11-10,続,女性,45,49
11-10,暇,男性,60,64
11-10,苦,女性,45,49
11-10,並,女性,45,49
11-10,菜,女性,50,54
11-10,暑,男性,40,44
11-10,普,男性,40,44
11-10,楽,男性,50,54
11-10,悠,男性,30,34
11-10,寂,女性,50,54
11-10,節,女性,40,44
11-10,暑,男性,45,49
11-10,並,男性,50,54
11-10,忙,男性,40,44
11-10,暑,男性,50,54
11-10,節,女性,35,39
11-10,興,女性,50,54
11-10,家,女性,25,29
11-10,普,男性,60,64
11-10,楽,女性,30,34
11-10,滅,男性,45,49
11-10,苦,男性,55,59
11-10,苦,男性,40,44
11-10,暑,男性,40,44
11-10,暑,女性,50,54
11-10,普,男性,45,49
11-10,平,女性,55,59
11-10,熱,男性,55,59
11-10,耐,男性,35,39
11-10,怒,男性,50,54
11-10,暑,男性,45,49
11-10,苦,女性,60,64
11-10,節,男性,40,44
11-10,難,男性,40,44
11-10,暑,女性,40,44
11-10,無,男性,60,64
11-10,忙,男性,55,59
11-10,苦,女性,30,34
11-10,忍,女性,35,39
11-10,禁,女性,40,44
11-10,簡,女性,45,49
11-10,楽,男性,60,64
11-10,穏,男性,55,59
11-10,忍,男性,80,84
11-10,普,女性,30,34
11-10,平,女性,30,34
11-10,貧,男性,40,44
11-10,暑,女性,40,44
11-10,忍,男性,60,64
11-10,忙,女性,55,59
11-10,節,男性,40,44
11-10,耐,男性,55,59
11-10,暑,女性,30,34
11-10,辛,男性,45,49
11-10,忍,男性,50,54
11-10,忍,男性,60,64
11-10,暑,女性,45,49
11-10,暑,女性,45,49
11-10,動,女性,35,39
11-10,怠,女性,70,74
11-10,暑,女性,45,49
11-10,控,女性,50,54
11-10,夏,男性,45,49
11-10,暑,女性,35,39
11-10,静,女性,55,59
11-10,普,女性,35,39
11-10,不,女性,55,59
11-10,辛,女性,40,44
11-10,普,女性,45,49
11-10,貧,男性,50,54
11-10,愛,女性,45,49
11-10,忍,女性,60,64
11-10,減,女性,45,49
11-10,遊,男性,65,69
11-10,穏,女性,45,49
11-10,災,男性,50,54
11-10,苦,女性,55,59
11-10,節,女性,40,44
11-10,耐,女性,35,39
11-10,縮,男性,30,34
11-10,空,女性,50,54
11-10,暑,男性,40,44
11-10,良,女性,50,54
11-10,暑,男性,45,49
11-10,減,女性,50,54
11-10,静,男性,35,39
11-10,節,男性,35,39
11-10,保,男性,40,44
11-10,質,男性,40,44
11-10,節,男性,60,64
11-10,暑,女性,40,44
11-10,穏,男性,40,44
11-10,平,男性,60,64
11-10,雑,男性,40,44
11-10,忙,男性,45,49
11-10,静,男性,40,44
11-10,楽,男性,35,39
11-10,閑,女性,45,49
11-10,湿,男性,50,54
11-10,耐,女性,50,54
11-10,汗,女性,45,49
11-10,平,男性,40,44
11-10,平,男性,55,59
11-10,嵐,男性,35,39
11-10,滞,女性,45,49
11-10,耐,女性,35,39
11-10,連,女性,40,44
11-10,耐,男性,30,34
11-10,暑,女性,45,49
11-10,困,女性,45,49
11-10,小,女性,50,54
11-10,節,女性,30,34
11-10,楽,女性,25,29
11-10,耐,女性,45,49
11-10,熱,女性,45,49
11-10,暑,男性,45,49
11-10,耐,男性,65,69
11-10,汗,男性,55,59
11-10,変,女性,50,54
11-10,貧,女性,65,69
11-10,貧,男性,75,79
11-10,辛,女性,20,24
11-10,動,男性,60,64
11-10,忙,男性,50,54
11-10,節,男性,40,44
11-10,節,女性,45,49
11-10,節,女性,50,54
11-10,暑,男性,55,59
11-10,平,女性,50,54
11-10,耐,男性,50,54
11-10,楽,男性,25,29
11-10,平,男性,50,54
11-10,忙,女性,55,59
11-10,耐,男性,45,49
11-10,省,女性,35,39
11-10,明,女性,50,54
11-10,普,女性,40,44
11-10,直,女性,40,44
11-10,減,女性,35,39
11-10,楽,男性,45,49
11-10,平,女性,60,64
11-10,暗,男性,50,54
11-10,本,男性,40,44
11-10,緩,女性,60,64
11-10,貧,男性,45,49
11-10,不,男性,45,49
11-10,普,男性,50,54
11-10,忍,男性,55,59
11-10,節,女性,45,49
11-10,忍,男性,65,69
11-10,凡,女性,40,44
