"year","line","station","type","count"
"2006","田園都市線","渋谷","定期","433029"
"2006","田園都市線","渋谷","定期外","215600"
"2007","田園都市線","渋谷","定期","448607"
"2007","田園都市線","渋谷","定期外","231788"
"2005","田園都市線","渋谷","定期","421808"
"2005","田園都市線","渋谷","定期外","209673"
"2008","田園都市線","渋谷","定期","439047"
"2008","田園都市線","渋谷","定期外","221231"
"2009","田園都市線","渋谷","定期","433897"
"2009","田園都市線","渋谷","定期外","218953"
"2011","田園都市線","渋谷","定期","429404"
"2011","田園都市線","渋谷","定期外","212377"
"2010","田園都市線","渋谷","定期","432388"
"2010","田園都市線","渋谷","定期外","214943"
"2013","田園都市線","渋谷","定期","450445"
"2013","田園都市線","渋谷","定期外","215200"
"2012","田園都市線","渋谷","定期","438756"
"2012","田園都市線","渋谷","定期外","218111"
"2006","田園都市線","池尻大橋","定期","30285"
"2006","田園都市線","池尻大橋","定期外","22670"
"2007","田園都市線","池尻大橋","定期","31792"
"2007","田園都市線","池尻大橋","定期外","24276"
"2005","田園都市線","池尻大橋","定期","28778"
"2005","田園都市線","池尻大橋","定期外","21981"
"2008","田園都市線","池尻大橋","定期","32226"
"2008","田園都市線","池尻大橋","定期外","24307"
"2009","田園都市線","池尻大橋","定期","31796"
"2009","田園都市線","池尻大橋","定期外","24235"
"2011","田園都市線","池尻大橋","定期","32831"
"2011","田園都市線","池尻大橋","定期外","23542"
"2010","田園都市線","池尻大橋","定期","33417"
"2010","田園都市線","池尻大橋","定期外","23904"
"2013","田園都市線","池尻大橋","定期","35665"
"2013","田園都市線","池尻大橋","定期外","24433"
"2012","田園都市線","池尻大橋","定期","33561"
"2012","田園都市線","池尻大橋","定期外","24033"
"2006","田園都市線","三軒茶屋","定期","68035"
"2006","田園都市線","三軒茶屋","定期外","48680"
"2007","田園都市線","三軒茶屋","定期","69067"
"2007","田園都市線","三軒茶屋","定期外","52233"
"2005","田園都市線","三軒茶屋","定期","66840"
"2005","田園都市線","三軒茶屋","定期外","46959"
"2008","田園都市線","三軒茶屋","定期","70641"
"2008","田園都市線","三軒茶屋","定期外","52836"
"2009","田園都市線","三軒茶屋","定期","70046"
"2009","田園都市線","三軒茶屋","定期外","52690"
"2011","田園都市線","三軒茶屋","定期","69971"
"2011","田園都市線","三軒茶屋","定期外","52162"
"2010","田園都市線","三軒茶屋","定期","70507"
"2010","田園都市線","三軒茶屋","定期外","52275"
"2013","田園都市線","三軒茶屋","定期","74109"
"2013","田園都市線","三軒茶屋","定期外","54348"
"2012","田園都市線","三軒茶屋","定期","71497"
"2012","田園都市線","三軒茶屋","定期外","53216"
"2006","田園都市線","駒沢大学","定期","40026"
"2006","田園都市線","駒沢大学","定期外","25208"
"2007","田園都市線","駒沢大学","定期","41761"
"2007","田園都市線","駒沢大学","定期外","26960"
"2005","田園都市線","駒沢大学","定期","38657"
"2005","田園都市線","駒沢大学","定期外","24599"
"2008","田園都市線","駒沢大学","定期","41995"
"2008","田園都市線","駒沢大学","定期外","27563"
"2009","田園都市線","駒沢大学","定期","43044"
"2009","田園都市線","駒沢大学","定期外","27557"
"2011","田園都市線","駒沢大学","定期","43078"
"2011","田園都市線","駒沢大学","定期外","27166"
"2010","田園都市線","駒沢大学","定期","43877"
"2010","田園都市線","駒沢大学","定期外","26937"
"2013","田園都市線","駒沢大学","定期","46447"
"2013","田園都市線","駒沢大学","定期外","27882"
"2012","田園都市線","駒沢大学","定期","44781"
"2012","田園都市線","駒沢大学","定期外","27915"
"2006","田園都市線","桜新町","定期","39074"
"2006","田園都市線","桜新町","定期外","22109"
"2007","田園都市線","桜新町","定期","39666"
"2007","田園都市線","桜新町","定期外","23205"
"2005","田園都市線","桜新町","定期","37404"
"2005","田園都市線","桜新町","定期外","21969"
"2008","田園都市線","桜新町","定期","39987"
"2008","田園都市線","桜新町","定期外","23645"
"2009","田園都市線","桜新町","定期","40415"
"2009","田園都市線","桜新町","定期外","23735"
"2011","田園都市線","桜新町","定期","41793"
"2011","田園都市線","桜新町","定期外","23825"
"2010","田園都市線","桜新町","定期","41346"
"2010","田園都市線","桜新町","定期外","23729"
"2013","田園都市線","桜新町","定期","44577"
"2013","田園都市線","桜新町","定期外","24919"
"2012","田園都市線","桜新町","定期","43253"
"2012","田園都市線","桜新町","定期外","24677"
"2006","田園都市線","用賀","定期","30883"
"2006","田園都市線","用賀","定期外","26907"
"2007","田園都市線","用賀","定期","32075"
"2007","田園都市線","用賀","定期外","28189"
"2005","田園都市線","用賀","定期","30214"
"2005","田園都市線","用賀","定期外","26116"
"2008","田園都市線","用賀","定期","32353"
"2008","田園都市線","用賀","定期外","28308"
"2009","田園都市線","用賀","定期","32718"
"2009","田園都市線","用賀","定期外","28179"
"2011","田園都市線","用賀","定期","33239"
"2011","田園都市線","用賀","定期外","27493"
"2010","田園都市線","用賀","定期","33325"
"2010","田園都市線","用賀","定期外","27747"
"2013","田園都市線","用賀","定期","33451"
"2013","田園都市線","用賀","定期外","27648"
"2012","田園都市線","用賀","定期","33734"
"2012","田園都市線","用賀","定期外","28016"
"2006","田園都市線","二子玉川","定期","34557"
"2006","田園都市線","二子玉川","定期外","33048"
"2007","田園都市線","二子玉川","定期","34452"
"2007","田園都市線","二子玉川","定期外","34851"
"2005","田園都市線","二子玉川","定期","33035"
"2005","田園都市線","二子玉川","定期外","33024"
"2008","田園都市線","二子玉川","定期","35383"
"2008","田園都市線","二子玉川","定期外","34141"
"2009","田園都市線","二子玉川","定期","34130"
"2009","田園都市線","二子玉川","定期外","32226"
